novel,writer,prediction
Crime and Punishment,Fyodor Dostoyevsky,Walter Scott
The Possessed (The Devils),Fyodor Dostoyevsky,Walter Scott
Poor Folk,Fyodor Dostoyevsky,Walter Scott
The Gambler,Fyodor Dostoyevsky,Walter Scott
The Idiot,Fyodor Dostoyevsky,Walter Scott
The Brothers Karamazov,Fyodor Dostoyevsky,Walter Scott
Peveril of the Peak,Walter Scott,Walter Scott
The Black Dwarf,Walter Scott,Walter Scott
Guy Mannering,Walter Scott,Walter Scott
White Nights and Other Stories,Fyodor Dostoyevsky,Fyodor Dostoyevsky
The Betrothed,Walter Scott,Fyodor Dostoyevsky
Uncle's Dream; and The Permanent Husband,Fyodor Dostoyevsky,Fyodor Dostoyevsky
Redgauntlet- A Tale Of The Eighteenth Century,Walter Scott,Walter Scott
Woodstock- or- the Cavalier,Walter Scott,Walter Scott
Rob Roy - Complete,Walter Scott,Walter Scott
St Ronan's Well,Walter Scott,Walter Scott
White Nights and Other Stories,Fyodor Dostoyevsky,Fyodor Dostoyevsky
Poor Folk,Fyodor Dostoyevsky,Fyodor Dostoyevsky
Uncle's Dream; and The Permanent Husband,Fyodor Dostoyevsky,Fyodor Dostoyevsky
Sense and Sensibility,Jane Austen,Jane Austen
Mansfield Park,Jane Austen,Jane Austen
Crime and Punishment,Fyodor Dostoyevsky,Fyodor Dostoyevsky
The Possessed (The Devils),Fyodor Dostoyevsky,Fyodor Dostoyevsky
Northanger Abbey,Jane Austen,Jane Austen
Emma,Jane Austen,Jane Austen
Pride and Prejudice,Jane Austen,Jane Austen
Persuasion,Jane Austen,Jane Austen
The Idiot,Fyodor Dostoyevsky,Fyodor Dostoyevsky
The Cricket on the Hearth- A Fairy Tale of Home,Charles Dickens,Charles Dickens
David Copperfield,Charles Dickens,Charles Dickens
The Fat and the Thin,Émile Zola,Émile Zola
The Personal History of David Copperfield,Charles Dickens,Charles Dickens
The Uncommercial Traveller,Charles Dickens,Émile Zola
The Three Cities Trilogy- Rome- Complete,Émile Zola,Émile Zola
Our Mutual Friend,Charles Dickens,Charles Dickens
Truth,Émile Zola,Émile Zola
The Magic Fishbone,Charles Dickens,Charles Dickens
The Three Cities Trilogy- Paris- Complete,Émile Zola,Émile Zola
His Masterpiece,Émile Zola,Émile Zola
The Rush for the Spoil,Émile Zola,Émile Zola
To Be Read at Dusk,Charles Dickens,Charles Dickens
Pictures from Italy,Charles Dickens,Charles Dickens
Theresa Raquin,Émile Zola,Émile Zola
Soil,Émile Zola,Émile Zola
Oliver Twist,Charles Dickens,Émile Zola
His Excellency,Émile Zola,Émile Zola
The Fortune of the Rougons,Émile Zola,Charles Dickens
Germinal,Émile Zola,Charles Dickens
The Three Cities Trilogy- Lourdes- Complete,Émile Zola,Émile Zola
The Ladies' Paradise,Émile Zola,Émile Zola
The Joy of Life,Émile Zola,Émile Zola
Bleak House,Charles Dickens,Charles Dickens
L'Assommoir,Émile Zola,Émile Zola
Piping Hot!,Émile Zola,Émile Zola
A Tale of Two Cities,Charles Dickens,Charles Dickens
Martin Chuzzlewit,Charles Dickens,Émile Zola
Great Expectations,Charles Dickens,Charles Dickens
Barnaby Rudge- A Tale of the Riots of 'Eighty,Charles Dickens,Émile Zola
The Mystery of Edwin Drood,Charles Dickens,Charles Dickens
A Christmas Carol,Charles Dickens,Émile Zola
Fruitfulness,Émile Zola,Émile Zola
The Chimes,Charles Dickens,Charles Dickens
A Tale of Two Cities,Charles Dickens,Charles Dickens
The Surgeon's Daughter,Walter Scott,Walter Scott
Rob Roy - Complete,Walter Scott,Charles Dickens
The Bride of Lammermoor,Walter Scott,Walter Scott
Ivanhoe- A Romance,Walter Scott,Walter Scott
Oliver Twist,Charles Dickens,Walter Scott
Our Mutual Friend,Charles Dickens,Charles Dickens
Barnaby Rudge- A Tale of the Riots of 'Eighty,Charles Dickens,Walter Scott
The Black Dwarf,Walter Scott,Walter Scott
David Copperfield,Charles Dickens,Charles Dickens
